movie_id,title,genre,release_date,runtime_min,language,production_budget_usd
M0001,Stellar Run,Sci-Fi,2025-06-15,128,English,80000000
M0002,Dark Orbit,Sci-Fi,2024-11-02,142,English,95000000
M0003,Last Kingdom,Drama,2025-02-20,156,English,60000000
M0004,Assimilated user-facing focus group,Drama,2025-03-30,166,English,5356886
M0005,Devolved user-facing benchmark,Drama,2024-01-23,120,Hindi,31958838
M0006,Quality-focused background parallelism,Drama,2025-05-10,102,English,92825067
M0007,Assimilated background data-warehouse,Drama,2024-08-04,154,English,81254563
M0008,Robust 4thgeneration open architecture,Drama,2024-01-09,139,English,5999315
M0009,Streamlined tangible moratorium,Drama,2023-12-03,96,Hindi,33227216
M0010,Organized optimizing focus group,Drama,2024-08-01,149,French,5561597
M0011,Adaptive well-modulated workforce,Drama,2025-10-03,156,Hindi,98102525
M0012,Optimized global focus group,Drama,2023-10-21,168,French,58306997
M0013,Virtual global benchmark,Drama,2023-10-17,113,Korean,81089901
M0014,Cross-platform heuristic hardware,Drama,2023-08-09,120,English,103845400
M0015,Balanced upward-trending knowledgebase,Drama,2025-02-19,105,Korean,47667651
M0016,Multi-tiered attitude-oriented neural-net,Comedy,2024-12-07,120,Hindi,30898923
M0017,Self-enabling regional hierarchy,Comedy,2024-03-16,128,English,14448136
M0018,Triple-buffered asymmetric analyzer,Comedy,2025-01-21,133,English,50181396
M0019,Visionary explicit artificial intelligence,Comedy,2025-04-23,129,French,37503389
M0020,Cross-platform homogeneous focus group,Comedy,2025-11-22,90,Korean,73971316
M0021,Multi-lateral cohesive hub,Comedy,2024-09-07,100,Korean,12576383
M0022,Synchronized encompassing standardization,Comedy,2024-05-23,155,Spanish,113320809
M0023,Stand-alone asynchronous portal,Comedy,2026-02-19,165,French,117656342
M0024,Public-key upward-trending encryption,Comedy,2025-03-25,131,French,27808537
M0025,Multi-tiered encompassing productivity,Comedy,2023-10-26,93,English,90753260
M0026,Face-to-face systemic Graphic Interface,Comedy,2025-05-23,114,Spanish,12709497
M0027,Vision-oriented analyzing emulation,Comedy,2025-11-08,114,English,53019678
M0028,Intuitive impactful flexibility,Thriller,2025-10-16,120,Korean,87320121
M0029,Re-contextualized transitional functionalities,Thriller,2023-07-11,131,Hindi,51684848
M0030,Proactive hybrid project,Thriller,2023-12-19,130,Hindi,91949389
M0031,Fundamental client-driven encryption,Thriller,2024-09-13,119,English,83756179
M0032,Public-key empowering synergy,Thriller,2025-07-24,166,Hindi,73691040
M0033,Reduced impactful hierarchy,Thriller,2025-01-29,116,Hindi,64043515
M0034,Devolved multimedia methodology,Thriller,2023-12-26,133,Spanish,87899313
M0035,Business-focused bifurcated collaboration,Thriller,2023-08-07,156,Hindi,93887369
M0036,Synergized interactive policy,Thriller,2025-03-17,126,English,32742311
M0037,Multi-tiered radical Local Area Network,Thriller,2023-07-08,89,Spanish,55843426
M0038,Reactive 24/7 software,Thriller,2024-11-29,119,English,30317637
M0039,Synergized national system engine,Thriller,2025-06-27,157,Spanish,30538251
M0040,Stand-alone global budgetary management,Sci-Fi,2024-02-16,168,Korean,55100814
M0041,Diverse logistical ability,Sci-Fi,2024-03-16,167,Korean,21175900
M0042,Up-sized empowering middleware,Sci-Fi,2026-03-10,118,Hindi,35101783
M0043,Profit-focused bi-directional product,Sci-Fi,2025-08-12,156,French,37264581
M0044,Sharable motivating portal,Sci-Fi,2024-03-22,159,Korean,80320463
M0045,Multi-layered well-modulated complexity,Sci-Fi,2023-12-04,136,Spanish,31436733
M0046,Vision-oriented multi-tasking ability,Sci-Fi,2024-12-11,102,French,68238574
M0047,Pre-emptive 3rdgeneration budgetary management,Sci-Fi,2025-02-14,96,English,117575276
M0048,Integrated disintermediate approach,Sci-Fi,2026-02-11,99,Hindi,86214382
M0049,Re-contextualized attitude-oriented artificial intelligence,Sci-Fi,2024-01-18,105,Korean,82048665
M0050,Cloned well-modulated monitoring,Sci-Fi,2025-07-10,93,Korean,53220073
M0051,De-engineered stable leverage,Sci-Fi,2025-08-16,161,Korean,73016525
M0052,Down-sized empowering moderator,Action,2026-03-02,117,French,117531895
M0053,Optimized didactic moratorium,Action,2025-12-11,86,English,93497616
M0054,Team-oriented dedicated structure,Action,2025-08-04,153,Spanish,105159575
M0055,Synchronized solution-oriented hub,Action,2024-04-05,167,Spanish,16972279
M0056,Programmable local capability,Action,2024-08-22,122,Korean,23227574
M0057,Cloned global adapter,Action,2024-01-26,143,English,98917555
M0058,Focused optimizing definition,Action,2025-02-02,118,French,104268835
M0059,Triple-buffered responsive approach,Action,2023-05-07,107,French,16282218
M0060,Automated full-range archive,Action,2024-01-05,165,Spanish,114966947
M0061,Grass-roots static matrix,Action,2024-11-13,166,French,83734598
M0062,De-engineered uniform orchestration,Action,2023-12-20,110,Hindi,52185867
M0063,Fully-configurable zero tolerance leverage,Action,2025-01-20,105,French,106505476
M0064,Ergonomic bandwidth-monitored attitude,Romance,2025-10-01,152,English,82388981
M0065,Multi-channeled interactive installation,Romance,2025-04-21,126,Korean,4614124
M0066,Upgradable actuating service-desk,Romance,2024-09-22,99,Spanish,119940053
M0067,Stand-alone bandwidth-monitored approach,Romance,2025-04-15,124,Hindi,9774584
M0068,Mandatory bi-directional encryption,Romance,2024-07-14,115,French,12570592
M0069,Public-key local challenge,Romance,2023-11-25,95,Korean,111524787
M0070,Grass-roots maximized encryption,Romance,2024-08-04,93,French,104788557
M0071,Compatible leadingedge workforce,Romance,2025-12-13,101,Hindi,90550256
M0072,Reactive bandwidth-monitored application,Romance,2025-11-29,145,French,24162965
M0073,Quality-focused 24/7 array,Romance,2025-04-13,118,French,119095980
M0074,Front-line composite installation,Romance,2026-02-08,162,Korean,30427073
M0075,Extended impactful approach,Romance,2024-10-13,154,Hindi,97690391
M0076,Adaptive human-resource firmware,Documentary,2023-10-27,124,Korean,92152297
M0077,Persevering executive interface,Documentary,2026-02-08,168,Spanish,60800797
M0078,Upgradable zero tolerance open architecture,Documentary,2025-06-01,151,Korean,18240908
M0079,Pre-emptive coherent core,Documentary,2025-04-24,116,Hindi,10593410
M0080,Centralized optimal support,Documentary,2024-03-20,128,English,80961459
M0081,User-friendly foreground approach,Documentary,2024-12-14,155,Hindi,80979095
M0082,Polarized motivating moderator,Documentary,2023-06-23,113,English,11528530
M0083,Profound attitude-oriented contingency,Documentary,2023-10-19,165,English,32728046
M0084,Cloned systematic encoding,Documentary,2023-07-14,93,English,117378310
M0085,Re-contextualized dynamic paradigm,Documentary,2024-07-15,127,English,71008866
M0086,Secured attitude-oriented instruction set,Documentary,2025-02-09,115,Spanish,91788677
M0087,Re-contextualized multi-state functionalities,Documentary,2025-04-19,147,Hindi,74374753
M0088,Expanded static structure,Horror,2026-02-17,101,French,79337818
M0089,Fundamental hybrid capacity,Horror,2024-04-08,145,Hindi,107309836
M0090,Innovative logistical functionalities,Horror,2025-05-05,145,Korean,27556386
M0091,Compatible 24/7 knowledgebase,Horror,2026-02-11,97,English,90447167
M0092,Re-contextualized bandwidth-monitored archive,Horror,2025-03-10,140,Spanish,58851760
M0093,Profit-focused empowering capacity,Horror,2024-12-09,137,Korean,117942205
M0094,Cloned dynamic hub,Horror,2026-02-15,91,English,10135295
M0095,Organic needs-based strategy,Horror,2024-03-07,136,Spanish,109453707
M0096,Streamlined multi-tasking access,Horror,2024-03-26,98,Hindi,27714784
M0097,Reactive exuding protocol,Horror,2025-04-30,109,French,62211891
M0098,Devolved empowering budgetary management,Horror,2023-08-21,102,Korean,26627347
M0099,User-friendly neutral collaboration,Horror,2025-12-30,120,Korean,35528453
